Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Updated,Unit,Op Date,Sync Date,Serv,I39,Dev,Zone,System Impact Study Completed,Feasiblity Study Status,System Impact Study Status,Optional Interconnection Study Status,Facilities Study Status,Interconnection Agreement Status,Project Status
909,Offshore Wind,,,MA,"Primary National Grid 115kV Bell Rock, alt: Eversource 115kV Wings Lane, National Grid 115kV Somerset",,WND,814.0,814.0,814.0,8/1/2019,Withdrawn,4/1/2026,2/13/2024,,,2/13/2024,WT,5/31/2026,4/1/2026,NR,N,PD,SEMA,N,Document Posted,Not Started,,,,Under Study
908,Solar,,Somerset,ME,"CMP Skowhegan North Side substation, Circuit 853D1 and 853D2",,SUN,8.999,8.999,8.999,8/1/2019,Withdrawn,12/1/2020,10/17/2019,,,10/21/2019,PV,12/31/2020,12/1/2020,,N,,ME,N,,,,,,
907,Solar,,Androscoggin,ME,"CMP Hotel Road substation, Circuit 420D4",,SUN,5.0,5.0,5.0,8/1/2019,Withdrawn,8/1/2020,10/17/2019,,,10/21/2019,PV,8/31/2020,8/1/2020,,N,,ME,N,,,,,,
906,Solar,,York,ME,"CMP Pratt & Whitney substation, Circuit 661D2",CMP,SUN,4.8,4.8,4.8,8/1/2019,Completed,7/1/2022,,,,3/14/2023,PV,7/14/2022,7/1/2022,,Y,,ME,Y,,,,,,
905,Battery Storage,,Cumberland,ME,"CMP Mussey Road substation, Circuit 636D2",CMP,BAT,10.0,10.0,10.0,8/1/2019,Withdrawn,8/1/2024,1/8/2025,,,1/8/2025,OT,8/1/2024,8/1/2024,,Y,,ME,Y,,,,,,
904,Battery Storage,,Kennebec,ME,"CMP Puddledock substation, circuit 262D1",CMP,BAT,14.0,14.0,14.0,8/1/2019,Withdrawn,1/1/2024,1/8/2025,,,1/8/2025,OT,1/25/2024,1/1/2024,,Y,,ME,Y,,,,,,
903,Solar,,Kennebec,ME,"CMP Winslow substation, Circuit 870D2",CMP,SUN,6.999,6.999,6.999,8/1/2019,Completed,5/24/2022,,,,7/14/2022,PV,7/13/2022,5/24/2022,,Y,,ME,Y,,,,,,
902,Solar,,Kennebec,ME,"CMP Blair Road substation, Circuit207D2",CMP,SUN,7.2,7.2,7.2,8/1/2019,Completed,6/22/2021,,,,7/2/2021,PV,7/2/2021,6/22/2021,,Y,,ME,Y,,,,,,
901,Solar,,Oxford,ME,"CMP Oxford substation, Circuit 437D2",CMP,SUN,4.6,4.6,4.6,8/1/2019,Completed,6/4/2021,,,,6/28/2021,PV,6/14/2021,6/4/2021,,Y,,ME,Y,,,,,,
900,Solar,,Oxford,ME,"CMP Oxford subsation, Circuit 437D1",CMP,SUN,4.6,4.6,4.6,8/1/2019,Completed,6/4/2021,,,,6/28/2021,PV,6/14/2021,6/4/2021,,Y,,ME,Y,,,,,,
899,1200 MW HVDC Line into Singer (Controllable),,Fairfield,CT,"The proposed point of interconnection is 345kV Singer substation in Bridgeport, CT.",,,1200.0,,,7/29/2019,Withdrawn,7/1/2024,7/31/2020,,,7/31/2020,,9/1/2024,7/1/2024,,N,PD,SWCT,N,Document Posted,Not Started,,,,Under Study
898,Solar,,Grafton,NH,"NGRID 34.5kV transmission/distribution line 3318 in Monroe, NH",,SUN,33.1,33.1,33.1,7/26/2019,Withdrawn,5/1/2022,8/28/2019,,,8/28/2019,PV,6/1/2022,5/1/2022,CNR,N,,NH,N,,,,,,
897,Solar,,Grafton,NH,Eversource 34.5kV bus at the Beebe River Substation,,SUN,60.0,60.0,60.0,7/26/2019,Withdrawn,5/1/2022,8/28/2019,,,8/28/2019,PV,6/1/2022,5/1/2022,CNR,N,,NH,N,,,,,,
896,Saco Solar,,York,ME,"CMPCO 34.5kV Louden Substation Saco, Maine",ISO-NE,SUN,19.6,19.6,19.6,7/17/2019,Withdrawn,6/1/2026,12/8/2025,,,12/15/2025,PV,7/1/2026,6/1/2026,NR,Y,PD,ME,Y,,Document Posted,,Document Posted,Executed,
895,CT additional,,Tolland,CT,Connecticut Light and Power Company d/b/a Eversource Connecticut (ES CT) Card-Mansfield 900 Line operating at 69 kV at the North Eagleville / King Hill Road intersection,,NG WO,10.0,37.05,43.25,6/27/2019,Withdrawn,2/1/2021,8/9/2019,,,8/9/2019,GT,2/1/2021,2/1/2021,CNR,N,,CT,N,,,,,,
894,Gas turbine repowering (Alt. to Q647),,Middlesex,CT,"Middletown 115 kV substation, Bus A, between breakers 1T and 2T",ISO-NE,DFO NG,23.0,376.0,378.0,6/10/2019,Withdrawn,1/16/2025,12/2/2021,,,12/2/2021,GT,5/31/2025,1/16/2025,CNR,Y,,CT,Y,,Document Posted,,,Not Started,
893,Offshore Wind,,,CT,Millstone 345kV alternate: lines 348 and 310,,WND,1200.0,1200.0,1200.0,6/7/2019,Withdrawn,6/1/2024,10/20/2021,,,10/20/2021,WT,5/31/2025,6/1/2024,CNR,N,PD,CT,N,Document Posted,In Progress,,,,Under Study
892,Gravel Pit Solar,,Hartford,CT,Line cut and three-breaker ring bus of the 115 kV Connecticut Light & Power Company line between Barbour Hill and Windsor Locks,ISO-NE,SUN,50.0,50.0,50.0,6/12/2019,Completed,10/28/2024,,,,7/17/2026,PV,8/13/2025,10/28/2024,CNR,Y,,CT,Y,,Document Posted,,,Executed,
891,1400 MW HVDC Line into Millstone,,New London,CT,"The proposed point of Interconnection is the Eversource Millstone 345kV substation in Waterford, CT - Alternate is Haddam 345 kV Substation",,,1400.0,,,5/29/2019,Withdrawn,1/1/2024,1/16/2020,,,1/16/2020,,3/1/2024,1/1/2024,,N,PD,CT,N,Not Started,,,,,Under Study
890,Increase transfer capability for N to S flows (Norwalk Harbor substation to Northport substation),,,CT,,,,,,,5/13/2019,Withdrawn,6/2/2023,6/26/2020,,,6/26/2020,,7/1/2023,6/2/2023,,N,,SWCT,N,In Progress,,,,,Under Study
889,NECEC Elective Transmission Deliverability Upgrades,,Androscoggin,ME,,ISO-NE,,,,,5/1/2019,Completed,8/28/2025,,,,12/31/2025,,12/31/2025,8/28/2025,,Y,PD,ME,Y,,Document Posted,,,Executed,In Service
888,Millinocket Battery additon,,Penobscot,ME,"115/34.5 kV Powersville Rd Substation and Millinocket Sub 4, 34.5 kV Bus",ISO-NE,WAT BAT,0.0,126.0,126.0,4/26/2019,Completed,12/7/2020,,,,3/4/2021,OT,12/30/2020,12/7/2020,CNR,Y,PD,BHE,Y,,Document Posted,,,Executed,In Service
887,Battery Storage,,Plymouth,MA,Eversource Line 113 at Wareham 115 kV substation,ISO-NE,BAT,150.0,150.0,150.0,4/26/2019,Withdrawn,4/30/2026,11/14/2023,,,11/14/2023,OT,5/31/2026,4/30/2026,NR,N,PD,SEMA,Y,Document Posted,In Progress,,,,Under Study
886,Battery Storage,,Norfolk,MA,Eversource 345 kV Holbrook,,BAT,200.0,200.0,200.0,4/26/2019,Withdrawn,4/30/2023,3/6/2020,,,3/9/2020,OT,5/31/2023,4/30/2023,CNR,N,PD,SEMA,N,Document Posted,,,,,Under Study
885,Fuel Cell,,Hartford,CT,Black Rock Substation (Eversource) via the Farmington River Power Company owned Burritt St substation 69kv line 680,,NG,20.24,20.24,20.24,4/25/2019,Withdrawn,5/1/2020,9/3/2019,,,9/3/2019,FC,6/30/2020,5/1/2020,CNR,N,,CT,N,,,,,,
884,Nutmeg Solar CNR only,,Hartford,CT,115kV Sitico Sub,,SUN,0.0,19.9,19.9,4/24/2019,Completed,11/15/2020,,,,1/12/2021,PV,12/7/2020,11/15/2020,CNR,N,,CT,N,,,,,Executed,
883,Kendall Combined Cycle increase,,Middlesex,MA,Kendall CT and Kendall Steam 3: point where Eversource Line 875-539 connects to Eversource 115 kV bus at Station 875. Kendall Jet: point where Eversource breaker J1242 connects to A bus at Kendall Station.,ISO-NE,DFO NG,16.449,264.953,268.523,4/24/2019,Withdrawn,6/1/2025,3/4/2025,,,3/4/2025,CC,6/1/2025,6/1/2025,CNR,Y,PD,BOST,Y,,Document Posted,,,Executed,
882,Kendall CNR Restoration,,Middlesex,MA,Kendall CT and Kendall Steam 3: point where Eversource Line 875-539 connects to Eversource 115 kV bus at Station 875. Kendall Jet: point where Eversource breaker J1242 connects to A bus at Kendall Station.,,DFO NG,13.551,248.504,252.074,4/24/2019,Completed,11/4/2021,,,,12/14/2021,CC,11/4/2021,11/4/2021,CNR,Y,,BOST,Y,,Document Posted,,,Executed,
881,Fore River CNR Uprate,,Norfolk,MA,NSTAR Edgar 115kv substation.,,DFO NG,0.0,800.0,843.0,4/18/2019,Completed,6/1/2020,,,,6/2/2020,CC,6/1/2020,6/1/2020,CNR,N,,SEMA,N,,,,,Executed,
880,Generator reactivation,,Penobscot,ME,Emera Maine 46kv Line 5/7 / Old Town Maine @ Penobscot River,,BLQ WDS,24.0,24.0,24.0,4/17/2019,Withdrawn,9/30/2020,5/15/2019,,,5/15/2019,ST,10/30/2020,9/30/2020,CNR,N,,BHE,N,,,,,,
879,Simple Cycle Combustion Turbine Repowering (alternative to Q647),,Middlesex,CT,"Middletown 115 kV substation, Bus A, between breakers 1T and 2T",,DFO NG,0.0,376.0,378.0,4/15/2019,Withdrawn,1/16/2023,5/28/2019,,,5/28/2019,GT,5/31/2023,1/16/2023,CNR,N,,CT,N,,,,,,
878,Solar,,Sullivan,NH,Eversource Lost Nation Substation (34.5 kV),,SUN,19.8,19.8,19.8,4/15/2019,Withdrawn,3/5/2020,5/1/2019,,,5/2/2019,PV,11/5/2020,3/5/2020,NR,N,PD,NH,N,,,,,,
877,Energy Storage,,Norfolk,MA,National Grid's South Wrentham 115kV substation,ISO-NE,BAT,170.0,170.0,170.0,4/11/2019,Active,6/26/2027,,,,6/30/2025,OT,7/26/2027,6/26/2027,NR,Y,PD,SEMA,Y,Document Posted,Document Posted,,,Executed,
876,Energy Storage,,Bristol,MA,Eversource 115kV Cross Road Substation Line 109,ISO-NE,BAT,246.0,246.0,246.0,4/11/2019,Withdrawn,10/28/2024,12/20/2021,,,12/21/2021,OT,12/31/2024,10/28/2024,CNR,Y,PD,SEMA,Y,,Document Posted,,In Progress,,Under Study
875,Farmington Solar CNR only,,Franklin,ME,CMP's Sturtevant - Livermoore Fall 115 kV line,,SUN,0.0,78.4,78.4,4/8/2019,Completed,9/9/2021,,,,10/27/2021,PV,10/27/2021,9/9/2021,CNR,N,,ME,N,,,,,Executed,
874,Cross Town Battery Storage,,Cumberland,ME,"CMP Mosher 115kV Substation - Lat: 43°41'2.39""N Long: 70°23'56.24""W",ISO-NE,BAT,175.0,182.0,182.0,4/8/2019,Completed,9/5/2025,,,,12/1/2025,OT,11/29/2025,9/5/2025,CNR,Y,PD,ME,Y,,Document Posted,,,Executed,
873,1200 MW HVDC Line (controllable) Into Mystic,,Middlesex,MA,The proposed point of Interconnection is: NSTAR Mystic 345kV Substation,,,1200.0,,,4/4/2019,Withdrawn,5/1/2024,7/2/2020,,,7/2/2020,,8/1/2024,5/1/2024,,N,PD,BOST,N,Document Posted,Not Started,,,,Under Study
872,Battery Storage,,Washington,RI,"National Grid 115kV Kent County- West Kingston line Approx: Latitude: 41°28'50.34""N, Longitude: 71°34'24.82""W",,BAT,180.0,180.0,180.0,4/1/2019,Withdrawn,11/15/2022,2/8/2020,,,2/10/2020,OT,3/1/2023,11/15/2022,CNR,N,PD,RI,N,,In Progress,,,,Under Study
871,Energy Storage,,Grafton,NH,PSNH 115kV Littleton substation,,BAT,100.0,100.0,100.0,3/28/2019,Withdrawn,3/1/2022,1/17/2020,,,1/17/2020,OT,5/31/2023,3/1/2022,CNR,N,PD,NH,N,,In Progress,,,,Under Study
870,Solar,,Providence,RI,"NG feeder 26W7, Woonsocket substation",NGRID,SUN,6.22,6.22,6.22,3/26/2019,Withdrawn,4/1/2022,6/13/2025,,,6/16/2025,PV,3/10/2025,4/1/2022,,Y,PD,RI,Y,,,,,,
869,Solar,,Providence,RI,"NG feeder 26W1, Woonsocket substation",NGRID,SUN,6.22,6.22,6.22,3/26/2019,Withdrawn,4/1/2022,6/13/2025,,,6/16/2025,PV,3/10/2025,4/1/2022,,Y,PD,RI,Y,,,,,,
868,Nellie Solar,,Sullivan,NH,"Eversource 34.5 kV line 3410 out of the North Road substation, extended along Maple Street, Newport NH.",ISO-NE,SUN,15.0,15.0,15.0,4/10/2019,Withdrawn,9/4/2024,10/18/2024,,,10/18/2024,PV,10/1/2024,9/4/2024,NR,Y,PD,NH,Y,Document Posted,Document Posted,,,Executed,
867,Wilbraham substation - NG Western MA Area Cluster Study,,Hampden,MA,NG Wilbraham substation,NGRID,SUN,4.0,4.0,4.0,3/21/2019,Completed,12/3/2020,,,,10/27/2021,PV,12/3/2020,12/3/2020,,Y,,WMA,Y,,,,,,
866,Whitmanville substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Whitmanville substation,NGRID,SUN,26.612,26.612,26.612,3/21/2019,Withdrawn,8/1/2020,,,,3/4/2021,PV,8/1/2020,8/1/2020,,Y,,WMA,Y,,,,,,
865,West Hampden 139 substation - NG Western MA Area Cluster Study,,Hampden,MA,NG West Hampden substation,NGRID,SUN,13.173,13.173,13.173,3/21/2019,Withdrawn,7/5/2019,6/13/2025,,,6/16/2025,PV,3/10/2023,7/5/2019,,Y,,WMA,Y,,,,,,
864,W. Charlton substation - NG Western MA Area Cluster Study,,Worcester,MA,NG W. Charlton substation,NGRID,SUN,17.032,17.032,17.032,3/21/2019,Withdrawn,8/29/2020,6/13/2025,,,6/16/2025,PV,10/10/2022,8/29/2020,,Y,,WMA,Y,,,,,,
863,Treasure Valley substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Treasure Valley substation,NGRID,SUN,2.23,2.23,2.23,3/21/2019,Completed,9/19/2019,,,,10/27/2021,PV,9/19/2019,9/19/2019,,Y,,WMA,Y,,,,,,
862,Stafford Street substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Stafford Street substation,NGRID,SUN,20.38,20.38,20.38,3/21/2019,Withdrawn,8/1/2020,10/20/2021,,,10/27/2021,PV,10/1/2022,8/1/2020,,Y,,WMA,Y,,,,,,
861,Snow Street substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Snow Street substation,NGRID,SUN,24.652,24.652,24.652,3/21/2019,Withdrawn,12/31/2020,6/13/2025,,,6/16/2025,PV,4/5/2023,12/31/2020,,Y,,WMA,Y,,,,,,
860,Shutesbury substation - NG Western MA Area Cluster Study,,Hampshire,MA,NG Shutesbury substation,NGRID,SUN,19.992,19.992,19.992,3/21/2019,Withdrawn,12/31/2021,6/13/2025,,,6/16/2025,PV,12/31/2023,12/31/2021,,Y,,WMA,Y,,,,,,
859,Prospect Street substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Prospect Street Substation,,SUN,2.0,2.0,2.0,3/21/2019,Withdrawn,8/1/2020,2/18/2020,,,2/26/2020,PV,8/1/2020,8/1/2020,,N,,WMA,N,,,,,,
858,Pratts Junction substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Pratts Junction substation,,SUN,2.0,2.0,2.0,3/21/2019,Withdrawn,8/1/2020,2/18/2020,,,2/26/2020,PV,8/1/2020,8/1/2020,,N,,WMA,N,,,,,,
857,Powder Mill substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Powder Mill substation,NGRID,SUN,70.664,70.664,70.664,3/21/2019,Withdrawn,8/1/2020,,,,3/4/2021,PV,8/1/2020,8/1/2020,,Y,,WMA,Y,,,,,,
856,New Salem substation - NG Western MA Area Cluster Study,,Worcester,MA,NG New Salem substation,NGRID,SUN,21.272,21.272,21.272,3/21/2019,Withdrawn,8/1/2020,,,,3/4/2021,PV,8/1/2020,8/1/2020,,Y,,WMA,Y,,,,,,
855,Millbury substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Millbury substation,NGRID,SUN,14.44,14.44,14.44,3/21/2019,Withdrawn,5/21/2022,6/13/2025,,,6/16/2025,PV,11/1/2023,5/21/2022,,Y,,WMA,Y,,,,,,
854,Litchfield substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Litchfield substation,NGRID,SUN,9.49,9.49,9.49,3/21/2019,Completed,4/30/2021,,,,10/27/2021,PV,4/30/2021,4/30/2021,,Y,,WMA,Y,,,,,,
853,East Longmeadow substation - NG Western MA Area Cluster Study,,Hampden,MA,NG East Longmeadow,NGRID,SUN,8.99,8.99,8.99,3/21/2019,Withdrawn,11/15/2019,6/13/2025,,,6/16/2025,PV,8/7/2022,11/15/2019,,Y,,WMA,Y,,,,,,
852,E. Webster substation - NG Western MA Area Cluster Study,,Worcester,MA,NG E.. Webster substation,NGRID,SUN,4.88,4.88,4.88,3/21/2019,Withdrawn,8/9/2022,6/13/2025,,,6/16/2025,PV,10/1/2023,8/9/2022,,Y,,WMA,Y,,,,,,
851,Brookfield substation - NG Western MA Area Cluster Study,,Worcester,MA,NG Brookfield substation,,SUN,24.0,24.0,24.0,3/21/2019,Withdrawn,8/1/2020,2/18/2020,,,2/26/2020,PV,8/1/2020,8/1/2020,,N,,WMA,N,,,,,,
