Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Proposed In-Service Date,Proposed Initial-Sync Date,Last Updated Date,Z,S,Availability of Studies,SGIA Tender Date
1224,Sunwine Solar,Northland Power U.S. Projects,Westfield,NY,Westfield Electric 115kV ,,,50.0,50,50,2021-07-28,Withdrawn,,2021-10-31 00:00:00,,,,,,,0.0,,
1225,26338 Westmoreland,Nexamp Solar,Oneida,NY,Oneida - Walesville 115kV,NM-NG,Solar,20.0,20,20,2021-07-29,Withdrawn,,2021-09-30 00:00:00,,,,,,,0.0,,
1226,47763 Cayuta,Nexamp Solar,Schuyler,NY,Cayuta - Ridge Road 34.5kV Line #501,NYSEG,Solar,20.0,20,20,2021-08-04,Withdrawn,,2024-09-30 00:00:00,,,,,,C,0.0,,
1227,18405 Scotch Ridge,Nexamp Solar,Schenectady,NY,Rotterdam-Schoharie 69kV line#18,NM-NG,Solar,20.0,20,20,2021-08-04,Withdrawn,,2024-03-31 00:00:00,,,,,,F,0.0,,
1228,Cuba Wind Project,"SWEB Development USA, LLC",Alleghany,NY,Homer Hill - Andover 115 kV Line #157,NM-NG,Wind,86.5,86.5,86.5,2021-08-12,Withdrawn,,2024-05-31 00:00:00,,,,,,A,0.0,,
1229,"Stonewall Solar, LLC.","Stonewall Solar, LLC",Delaware,NY,Colliers-Delhi 115KV,NYSEG,Solar,145.0,145,145,2021-08-16,Withdrawn,,2024-07-31 00:00:00,,,,,,E,0.0,,
1231,Mill Point Solar II,ConnectGen Montgomery County LLC,Montgomery,NY,New Scotland-Marcy 345kV,NM-NG,,100.0,100,100,2021-08-17,Withdrawn,,2024-01-31 00:00:00,,,,,,E,0.0,,
1232,Harvest Hills Solar II,ConnectGen Cayuga County LLC,Cayuga,NY,Wright Avenue - Cayuga 115kV,NYSEG,Solar,50.0,50,50,2021-08-19,Withdrawn,,2021-10-31 00:00:00,,,,,,C,0.0,,
1233,Maplewood Energy Storage,ACE Development Company,Albany,NY,Maplewood - Menands 115kV Line #19 & Maplewood - Reynolds 115kV Line #31,NM-NG,Energy Storage,250.0,250,250,2021-08-20,Withdrawn,,2023-10-31 00:00:00,,,,,,F,0.0,,
1234,Horseblock Energy Storage,ACE Development Company,Suffolk,NY,West Yaphank 69 kV Substation,LIPA,Energy Storage,100.0,100,100,2021-08-20,Withdrawn,,2024-07-31 00:00:00,,,,,,K,0.0,,
