Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Proposed In-Service Date,Proposed Initial-Sync Date,Last Updated Date,Z,S,Availability of Studies,SGIA Tender Date
0276,Homer Solar Energy Center,,Cortland,NY,Cortland - Fenner 115kV,NM-NG,Solar,90.0,90.0,90.0,2008-01-30,Active,2028-06-01,,,,,,2026-05-31 00:00:00,,,"FES, SRIS, FS",
0495,Mohawk Solar,,Montgomery,NY,St. Johnsville - Marshville 115kV,NM-NG,Solar,90.5,90.5,90.5,2015-04-02,Active,2027-11-01,,,,,,2025-09-30 00:00:00,,,"FES, SRIS, FS",
0519,Canisteo Wind,,Steuben,NY,Bennett 115kV,NYSEG,Wind,290.7,290.7,290.7,2015-11-02,Active,2028-05-01,,,,,,2025-03-31 00:00:00,,,"FES, SRIS, FS",
0522,NYC Energy,,Kings,NY,Hudson Avenue East 138kV,ConEd,Energy Storage,79.9,79.9,79.9,2015-12-16,Active,2027-06-01,,,,,,2026-06-30 00:00:00,,,"FES, SRIS, FS",
0535,Riverhead Solar 2,,Suffolk,NY,Edwards 138kV,LIPA,Solar,36.0,36.0,36.0,2016-02-23,Active,2028-01-01,,,,,,2024-09-30 00:00:00,,,"FES, SRIS, FS",
0564,Rock District Solar,,Schoharie,NY,Sharon - Cobleskill 69kV,NM-NG,Solar,20.0,20.0,20.0,2016-07-25,Active,2027-02-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
0571,Heritage Wind,,Genesee,NY,Lockport - Mortimer 115kV,NM-NG,Wind,126.0,126.0,126.0,2016-09-01,Active,2027-10-01,,,,,,2025-09-30 00:00:00,,,"FES, SRIS, FS",
0572,Greene County 1,,Greene,NY,Coxsackie - North Catskill 69kV,CHG&E,Solar,20.0,20.0,20.0,2016-09-06,Active,2027-06-01,,,,,,2025-05-31 00:00:00,,,"SIS, FS",
0573,Greene County 2,,Greene,NY,Coxsackie 13.8kV,CHG&E,Solar,10.0,10.0,10.0,2016-09-06,Active,2027-06-01,,,,,,2025-05-31 00:00:00,,,"SIS, FS",
0575,Little Pond Solar,,Orange,NY,Mongaup - Shoemaker 69kV,O&R,Solar,20.0,20.0,20.0,2016-09-16,Active,2027-09-01,,,,,,2026-06-30 00:00:00,,,"FES, SIS, FS",
0581,Hills Solar,,Herkimer,NY,Fairfield - Inghams 115kV,NM-NG,Solar,20.0,20.0,20.0,2025-11-26,Active,2028-04-01,,,,,,2026-06-30 00:00:00,,,"FES, SIS, FS",
0584,Dog Corners Solar,,Cayuga,NY,Aurora 34.5kV,NYSEG,Solar,20.0,20.0,20.0,2025-11-25,Active,2027-01-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
0586,Watkins Rd Solar,,Herkimer,NY,Watkins Rd - Ilion 115kV,NM-NG,Solar,20.0,20.0,20.0,2016-11-08,Active,2027-02-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
0590,Scipio Solar,,Cayuga,NY,Scipio 34.5kV,NYSEG,Solar,18.0,18.0,18.0,2016-12-02,Active,2027-09-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
0596,Alle Catt II Wind,,Cattaraugus,NY,Stolle Rd - Five Mile Rd 345kV,NM-NG,Wind,339.1,339.1,339.1,2017-01-04,Active,2026-12-01,,,,,,2026-05-31 00:00:00,,,"SRIS, FS",
0617,Watkins Glen Solar,,Schuyler,NY,Bath - Montour Falls 115kV,NYSEG,Solar,50.0,50.0,50.0,2017-03-27,Active,2028-04-01,,,,,,2025-01-31 00:00:00,,,"SRIS, FS",
0620,Gateway Solar Energy Center,,St. Lawrence,NY,Massena - Moses 230kV,NYPA,Solar,180.0,180.0,180.0,2017-03-27,Active,2028-04-01,,,,,,2025-02-28 00:00:00,,,"FES, SRIS, FS",
0637,Flint Mine Solar,,Greene,NY,"LaFarge - Pleasant Valley 115kV, Feura Bush - North Catskill 115kV",NM-NG,Solar,100.0,100.0,100.0,2017-06-29,Active,2028-04-01,,,,,,2026-06-30 00:00:00,,,"FES, SRIS, FS",
0644,Columbia County 1,,Columbia,NY,Craryville 115kV,NYSEG,Solar,60.0,60.0,60.0,2017-07-26,Active,2027-02-01,,,,,,2024-06-30 00:00:00,,,"FES, SRIS, FS",
0670,SunEast Skyline Solar LLC,,Westmoreland,NY,Campus Rd - Clinton 46kV,NM-NG,Solar,20.0,20.0,20.0,2017-09-21,Active,2028-04-01,,,,,,2023-07-31 00:00:00,,,"FES, SIS, FS",
0683,KCE NY 2,,Montgomery,NY,Coldenham 115kV,CHG&E,Energy Storage,200.0,200.0,200.0,2018-01-18,Active,2027-06-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
0704,Bear Ridge Solar,,Niagara,NY,Mountain- Lockport 115kV,NM-NG,Solar,100.0,100.0,100.0,2018-03-20,Active,2028-04-01,,,,,,2025-02-28 00:00:00,,,"SRIS, FS",
0710,Horseshoe Solar,,Livingston,NY,Golah 115kV,NM-NG,Solar,180.0,180.0,180.0,2018-05-29,Active,2028-05-01,,,,,,2025-10-31 00:00:00,,,"FES, FS",
0716,Moraine Solar Energy Center,,Allegany,NY,Moraine 115kV,NYSEG,Solar,93.5,93.5,93.5,2018-06-04,Active,2028-09-01,,,,,,2025-10-31 00:00:00,,,"FES, SRIS, FS",
0720,Trelina Solar Energy Center,,Seneca,NY,Border City - Station 168 115 KV,NYSEG,Solar,79.8,79.8,79.8,2018-06-07,Active,2028-04-01,,,,,,2025-01-31 00:00:00,,,"SRIS, FS",
0721,Excelsior Energy Center,,Genesee,NY,Dysinger - N. Rochester 345kV,NYPA,Solar,280.0,280.0,280.0,2018-06-07,Active,2026-11-01,,,,,,2026-05-31 00:00:00,,,"SRIS, FS",
0734,Ticonderoga Solar,,Essex,NY,Ticonderoga 115kV - Republic Line 2,NM-NG,Solar,20.0,20.0,20.0,2018-06-12,Active,2026-12-01,,,,,,2026-01-31 00:00:00,,,"FES, SIS, FS",
0737,Empire Wind 1,,Kings,NY,Gowanus 345kV,ConEd,Wind,816.0,816.0,816.0,2018-06-12,Active,2027-09-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
0766,Sunrise Wind,,Suffolk,NY,Holbrook 138kV & West Bus 138kV,LIPA,Wind,880.0,880.0,880.0,2018-09-28,Active,2027-10-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
0774,Tracy Solar Energy Center,,Jefferson,NY,Thousand Island - Lyme 115kV,NM-NG,Solar,119.0,119.0,119.0,2018-10-18,Active,2028-12-01,,,,,,2025-12-31 00:00:00,,,"SRIS, FS",
0777,White Creek Solar,,Livingston,NY,Sta 82 - Sta 128 115kV,RG&E,Solar,135.0,135.0,135.0,2018-11-01,Active,2028-06-01,,,,,,2025-10-31 00:00:00,,,"SRIS, FS",
0783,South Ripley Solar and BESS,,Chautauqua,NY,South Ripley Substation 230kV,NM-NG,,270.0,270.0,270.0,2018-12-07,Active,2027-12-01,,,,,,2026-06-30 00:00:00,,,"FES, SRIS, FS",
0800,Rich Road Solar Energy Center,,St. Lawrence,NY,Moses - Adirondack 230 kV Line #2 (MA2),NYPA,,240.0,240.0,240.0,2019-02-20,Active,2028-04-01,,,,,,2025-01-31 00:00:00,,,"FES, SRIS, FS",
0801,Prattsburgh Wind Farm,,Steuben,NY,Stoney Ridge - Canadaigua 230kV,NYSEG,Wind,147.0,147.0,147.0,2019-02-21,Active,2027-09-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
0804,KCE NY 10,,Erie,NY,Erie Substation 34.5kV,NYSEG,Energy Storage,20.0,20.0,20.0,2019-03-22,Active,2026-10-01,,,,,,2026-01-31 00:00:00,,,"FES, SIS, FS",
0805,Oxbow Hill Solar,,Madison,NY,Fenner 115kV Substation,NM-NG,Solar,140.0,140.0,140.0,2019-03-22,Active,2029-06-01,,,,,,2026-01-31 00:00:00,,,"FES, FS",
0811,Cider Solar,,Genesee,NY,Dysinger - New Rochester 345kV,NYPA,Solar,500.0,500.0,500.0,2019-04-03,Active,2027-01-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
0815,Bayonne Energy Center III,,Kings,NY,Gowanus 345kV,ConEd,Energy Storage,49.8,49.8,49.8,2019-04-05,Active,2027-07-01,,,,,,2026-05-31 00:00:00,,,"SRIS, FS",
0827,Arthur Kill Energy Storage 1,,Richmond,NY,Fresh Kills 13.8kV,ConEd,Energy Storage,15.0,15.0,15.0,2019-04-22,Active,2026-12-01,,,,,,2026-02-28 00:00:00,,,FS,
0828,Valley Solar,,Tioga,NY,Owego 34.5kV Substation,NYSEG,Solar,20.0,20.0,20.0,2019-04-24,Active,2027-01-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
0832,CS Hawthorn Solar,,Rensselaer,NY,North Troy - Hoosick 115kV,NM-NG,Solar,20.0,20.0,20.0,2019-05-06,Active,2027-06-01,,,,,,2026-04-30 00:00:00,,,"FES, FS",
0833,Dolan Solar,,Washington,NY,Battenkill - Mohican 115kV,NM-NG,Solar,20.0,20.0,20.0,2019-05-06,Active,2027-09-01,,,,,,2026-04-30 00:00:00,,,"SIS, FS",
0834,Luyster Creek Energy Storage 2,,Queens,NY,Astoria West 138kV,ConEd,Energy Storage,79.0,79.0,79.0,2019-05-07,Active,2028-04-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
0835,Luyster Creek Energy Storage 1,,Queens,NY,Astoria West 138kV,ConEd,Energy Storage,57.3,56.3,57.3,2019-05-07,Active,2028-04-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
0843,NY37 Solar,,Jefferson,NY,Coffeen - West Adams 115kV Substation,NM-NG,Solar,20.0,20.0,20.0,2025-12-02,Active,2028-09-01,,,,,,2026-02-28 00:00:00,,,"SIS, FS",
0863,Highbanks Solar,,Livingston,NY,S158 High banks 34.5 kV,RG&E,Solar,12.5,12.5,12.5,2019-05-29,Active,2029-09-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
0864,NY38 Solar,,Jefferson,NY,Coffeen - West Adams 115kV,NM-NG,Solar,120.0,120.0,120.0,2019-05-29,Active,2028-04-01,,,,,,2026-02-28 00:00:00,,,"SRIS, FS",
0865,Flat Hill Solar,,Herkimer,NY,Inghams-Valley 46kV Line 27,NM-NG,Solar,20.0,20.0,20.0,2019-05-31,Active,2027-08-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
0880,Brookside Solar,,Franklin,NY,Chateaugay - Willis 115kV,NYSEG,Solar,100.0,100.0,100.0,2019-06-10,Active,2027-12-01,,,,,,2026-01-31 00:00:00,,,"SRIS, FS",
0882,Riverside Solar,,Jefferson,NY,Lyme Substation 115kV,NM-NG,Solar,100.0,100.0,100.0,2019-06-10,Active,2027-12-01,,,,,,2025-01-31 00:00:00,,,"FES, SRIS, FS",
0883,Garnet Energy Center,,Cayuga,NY,Pannell - Clay 345kV,NYPA,Solar,200.0,200.0,200.0,2019-06-11,Active,2028-04-01,,,,,,2025-02-28 00:00:00,,,FS,
0885,Grassy Knoll Solar,,Herkimer,NY,Watkins Rd - Inghams 115kV,NM-NG,Solar,20.0,20.0,20.0,2019-06-12,Active,2028-05-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
0899,Scriba-Volney Series Reactor,,Oswego,NY,Volney - Scriba 345 kV,NM-NG,AC Transmission,0.0,,,2019-08-02,Active,,,,,,,2025-05-31 00:00:00,,,SIS,
0907,Harlem River Yard,,Queens,NY,Hell Gate 138kV,NYPA,Energy Storage,79.9,79.9,79.9,2019-09-04,Active,2028-01-01,,,,,,2025-02-28 00:00:00,,,"SRIS, FS",
0930,Luyster Creek Energy Storage 3,,Queens,NY,North Queens 27kV,ConEd,Energy Storage,15.0,15.0,15.0,2019-10-25,Active,2027-03-01,,,,,,2025-03-31 00:00:00,,,"SIS, FS",
0931,Astoria Energy Storage,,Queens,NY,Astoria West 138kV,ConEd,Energy Storage,100.0,100.0,100.0,2019-10-28,Active,2026-10-01,,,,,,2025-10-31 00:00:00,,,"SRIS, FS",
0932,Hatchery Solar,,Livingston,NY,Caledonia - Golah 34.5 kV,NM-NG,Solar,20.0,20.0,20.0,2019-10-29,Active,2029-01-01,,,,,,2026-03-31 00:00:00,,,"SIS, FS",
0950,Hemlock Ridge Solar,,Orleans,NY,Lockport - Mortimer 115kV,NM-NG,Solar,200.0,200.0,200.0,2019-11-21,Active,2028-04-01,,,,,,2025-08-31 00:00:00,,,"SRIS, FS",
0953,Sugar Maple Solar,,Lewis,NY,North Carthage - Taylorville #8 and Black River - Taylorville #2 115kV,NM-NG,Solar,125.0,125.0,125.0,2019-12-05,Active,2027-12-01,,,,,,2025-01-31 00:00:00,,,"SRIS, FS",
0956,Holtsville 138kV Energy Storage,,Suffolk,NY,West Bus 138 kV,LIPA,Energy Storage,110.0,110.0,110.0,2019-12-10,Active,2028-05-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
0967,KCE NY 5,,Ulster,NY,Ohioville 115 kV,CHG&E,Energy Storage,94.0,94.0,94.0,2019-12-27,Active,2027-12-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
0971,East Setauket Energy Storage,,Suffolk,NY,Holbrook - Miller Place 138kV,LIPA,Energy Storage,125.0,125.0,125.0,2020-01-10,Active,2027-04-01,,,,,,2025-02-28 00:00:00,,,FS,
0987,Sunrise Wind II,,Suffolk,NY,Holbrook 138kV,LIPA,Wind,44.0,44.0,44.0,2020-01-29,Active,2027-10-01,,,,,,2026-06-30 00:00:00,,,FS,
0995,Alabama Solar Park LLC,,Genesee,NY,Lockport - Batavia 115kV (Line#112),NM-NG,Solar,130.0,130.0,130.0,2020-02-27,Active,2028-10-01,,,,,,2025-01-31 00:00:00,,,FS,
1000,Flat Stone Solar,,Oneida,NY,Oneida - Rome 115kV,NM-NG,Solar,20.0,20.0,20.0,2020-03-18,Active,2028-05-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
1003,Clear View Solar,,Steuben,NY,Eelpot Road 34.5 kV,NYSEG,Solar,20.0,20.0,20.0,2020-04-06,Active,2026-08-01,,,,,,2026-02-28 00:00:00,,,"SIS, FS",
1007,NYC Energy LLC - Phase 2,,Kings,NY,Hudson Ave 138 kV,ConEd,Energy Storage,220.1,220.1,220.1,2020-04-22,Active,2027-06-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
1009,Yellow Barn Solar,,Tompkins,NY,Milliken - Etna 115 kV line #975,NYSEG,Solar,160.0,160.0,160.0,2020-04-30,Active,2028-11-01,,,,,,2025-12-31 00:00:00,,,"SRIS, FS",
1015,"Somers Solar, LLC",,Washington,NY,Mohican - Battenkill 115kV,NM-NG,Solar,20.0,20.0,20.0,2020-05-05,Active,2027-12-01,,,,,,2026-01-31 00:00:00,,,FS,
1031,Mill Point Solar,,Montgomery,NY,Marcy - New Scotland 345kV,NM-NG,,250.0,250.0,250.0,2020-06-18,Active,2028-12-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
1047,Millers Grove Solar,,Herkimer,NY,Porter - Watkins 115kV,NM-NG,Solar,20.0,20.0,20.0,2020-07-09,Active,2028-03-01,,,,,,2026-02-28 00:00:00,,,"SIS, FS",
1079,Somerset Solar,,Niagara,NY,Kintigh 345 kV,NYSEG,Solar,125.0,125.0,125.0,2020-08-18,Active,2028-06-01,,,,,,2025-08-31 00:00:00,,,"SRIS, FS",
1080,Mineral Basin Solar Power,,Clearfield,PA,Homer City - Mainesburg 345KV,NYSEG,Solar,401.6,401.6,401.6,2020-08-21,Active,2029-12-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
1113,CLIES 20 MW,,Suffolk,NY,Sills Road 138 kV,LIPA,Energy Storage,20.0,20.0,20.0,2020-11-18,Active,2027-12-01,,,,,,2025-03-31 00:00:00,,,"SIS, FS",
1117,CLIES 70MW,,Suffolk,NY,Sills Road 138kV,LIPA,Energy Storage,70.0,70.0,70.0,2020-11-25,Active,2027-12-01,,,,,,2025-03-31 00:00:00,,,"SRIS, FS",
1122,East Fishkill,,Dutchess,NY,Shenandoah 115kV,CHG&E,Energy Storage,205.0,205.0,205.0,2020-12-11,Active,2029-12-01,,,,,,2025-10-31 00:00:00,,,"SRIS, FS",
1123,KCE NY 29,,Suffolk,NY,Kings 138 kV,LIPA,Energy Storage,79.0,79.0,79.0,2020-12-14,Active,2028-08-01,,,,,,2026-03-31 00:00:00,,,FS,
1130,Hoffman Falls Wind,,Madison,NY,Cortland - Fenner 115kV Line #3,NM-NG,Wind,72.0,72.0,72.0,2021-01-27,Active,2029-04-01,,,,,,2026-06-30 00:00:00,,,FS,
1148,Agricola Wind,,Cayuga,NY,Milliken to Wright Ave 115 kV line #973,NYSEG,Wind,97.0,97.0,97.0,2021-03-10,Active,2029-04-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
1151,York Run Solar,,Chautauqua,NY,Falconer - Warren 115 kV line #171,NM-NG,Solar,90.0,90.0,90.0,2021-03-18,Active,2028-09-01,,,,,,2026-06-30 00:00:00,,,"SRIS, FS",
1166,BR Benson Mines Solar,,St. Lawrence,NY,Brown's Falls to Newton Falls #22 34.5kV Line,NM-NG,Solar,12.1,12.1,12.1,2021-05-07,Active,2027-12-01,,,,,,2025-12-31 00:00:00,,,"SIS, FS",
1183,NY125A - Fort Covington Solar,,Franklin,NY,Moses-Willis 230 kV (MW1),NYPA,Solar,250.0,250.0,250.0,2021-05-20,Active,2028-07-01,,,,,,2025-09-30 00:00:00,,,"SRIS, FS",
1184,NY125B - Two Rivers Solar,,St-Lawrence,NY,Moses-Willis 230kV (MW2),NYPA,Solar,200.0,200.0,200.0,2021-05-20,Active,2028-09-01,,,,,,2025-01-31 00:00:00,,,"SRIS, FS",
1188,"North Seneca Solar Project, LLC",,Seneca,NY,Hooks Road - Elbridge 115kV line#7,NM-NG,Solar,90.0,90.0,90.0,2021-05-27,Active,2027-09-01,,,,,,2025-01-31 00:00:00,,,"SRIS, FS",
1237,Sugar Maple Energy Storage,,Jefferson,NY,North Carthage-Taylorville #8 and Black River-Taylorville #2 115 kV lines,NM-NG,Energy Storage,20.0,20.0,20.0,2021-08-24,Active,2028-12-01,,,,,,2026-07-31 00:00:00,,,SIS,
1255,Holtsville Brookhaven Battery Storage,,Suffolk,NY,Line 69-849 from West Yaphank to North Bellport,LIPA,Energy Storage,79.9,79.9,79.9,2021-09-22,Active,2027-10-01,,,,,,2026-01-31 00:00:00,,,SRIS,
1257,Edwards Calverton Battery Storage,,Suffolk,NY,Edwards Avenue Substation at 138 kV,LIPA,Energy Storage,60.0,60.0,60.0,2021-09-22,Active,2027-11-01,,,,,,2026-01-31 00:00:00,,,"SRIS, FS",
1289,Propel NY Energy - Alternate Solution 5,,"Nassau, Queens, Bronx, Westchester",NY,Sprain Brook 345 kV; Tremont 345 kV; East Garden City 345 kV; Barrett 138 kV; East Garden City 138 kV; Shore Road 138 kV; Syosset 138 kV; Ruland Rd 138 kV,"LIPA, ConEd, NYPA",AC Transmission,0.0,,,2021-10-11,Active,,,,,,,2025-06-30 00:00:00,,,SIS,
1308,Richmond Spoke,,Richmond,NY,Goethals - Gowanus 345 kV,ConEd,AC Transmission,0.0,,,2021-12-02,Active,,,,,,,2022-07-31 00:00:00,,,SIS,
1329,ELP Granby Solar II,,Oswego,NY,Curtis Street - Teall 115 kV,NM-NG,,20.0,20.0,20.0,2022-02-11,Active,2028-06-01,,,,,,2026-06-30 00:00:00,,,"FES, SIS, FS",
1365,Queensboro Renewable Express Circuit A,,Queens,NY,Rainey 345 kV substation and Vernon 138 kV substation,ConEd,DC Transmission,0.0,,,2022-04-15,Active,,,,,,,2022-07-31 00:00:00,,,SIS,
1366,Queensboro Renewable Express Circuit B,,Queens,NY,Rainey 345 kV substation and Vernon 138 kV substation,ConEd,DC Transmission,0.0,,,2022-04-15,Active,,,,,,,2024-03-31 00:00:00,,,SIS,
1555,Liberty Green Line,,New York County,NY,Con Edison W 49th St 345kV Substation,"ConEd, PJM",AC Transmission,0.0,,,2023-05-12,Active,,,,,,,2026-03-31 00:00:00,,,FES,
1667,Designated Public Policy Project Rainey Breaker Replacement,,New York,NY,Rainey 345kV Substation,ConEd,AC Transmission,0.0,,,2024-01-12,Active,,,,,,,2024-07-31 00:00:00,,,,
1671,Meyer Substation Rebuild and South Perry Substation Rebuild,,Wyoming/Livingston,NY,"Meyer 115kV, 34.5, 230kV South Perry 115kV, 34.5kV, 69kV",NYSEG,AC Transmission,0.0,,,2024-02-02,Active,,,,,,,2026-04-30 00:00:00,,,,
1672,Ames Road Station,,Montgomery,NY,345kV Edic Princetown 351 345kV Edic Princetwon 352 115kV Saint Johnsville Mashville 11 115kV Clinton Marshville 12,"NM-NG, LS Power",AC Transmission,0.0,,,2024-02-05,Active,,,,,,,2025-08-31 00:00:00,,,,
C24-003,Vineyard Mid-Atlantic West,,Nassu,NY,East Garden City 345kV,NYPA,,1321.0,1321.0,1321.0,2024-08-01,Active,2032-03-01,,,,,,2025-11-30 00:00:00,,,,
C24-004,Palladium Storage,,Bronx,NY,Hell Gate Annex 138KV Substation,NYPA,Energy Storage,140.0,140.0,140.0,2024-08-01,Active,2028-08-01,,,,,,2025-11-30 00:00:00,,,,
C24-005,Blue Spruce Storage,,Bronx,NY,Mott Haven 138KV Bus,ConEd,Energy Storage,300.0,300.0,300.0,2024-08-01,Active,2028-08-01,,,,,,2025-11-30 00:00:00,,,,
C24-008,KCE NY 30,,Suffolk,NY,West Babylon 69 kV,LIPA,Energy Storage,50.0,50.0,50.0,2024-08-01,Active,2028-10-01,,,,,,2025-12-31 00:00:00,,,,
C24-010,KCE NY 21,,Suffolk,NY,Pulaski 69kV Substation,LIPA,Energy Storage,60.0,60.0,60.0,2024-08-01,Active,2029-12-01,,,,,,2025-12-31 00:00:00,,,,
C24-013,Battery Park Storage,,Brooklyn,NY,Greenwood 138KV,ConEd,Energy Storage,190.0,190.0,190.0,2024-08-01,Active,2028-08-01,,,,,,2025-11-30 00:00:00,,,,
C24-021,Bluepoint Wind 1,,Kings,NY,Brooklyn Clean Energy Hub 345kV Substation,CONED,,1310.0,1310.0,1310.0,2024-08-01,Active,2033-12-01,,,,,,2025-08-31 00:00:00,,,,
C24-032,Oakdale Battery Storage LLC,,Broome,NY,Oakdale 115 kV,NYSEG,Energy Storage,150.0,150.0,150.0,2024-08-01,Active,2030-08-01,,,,,,2025-12-31 00:00:00,,,,
C24-033,KCE NY 31,,Suffolk,NY,Shoreham 138kV,LIPA,Energy Storage,50.0,50.0,50.0,2024-08-01,Active,2027-12-01,,,,,,2026-01-31 00:00:00,,,,
C24-042,Hoffman Falls Wind 2,,Madison,NY,Fenner - Shippy Rd Line 3 115 kV,NM-NG,Wind,29.8,29.8,29.8,2024-08-01,Active,2027-12-01,,,,,,2026-01-31 00:00:00,,,,
C24-047,"Lincoln Park DG, LLC",,Ulster,NY,Lincoln Park - East Kingston 115 kV,CHGE,Energy Storage,150.0,150.0,150.0,2024-08-01,Active,2030-12-01,,,,,,2025-12-31 00:00:00,,,,
C24-048,BPP NY Lansing BESS I,,Tompkins,NY,Milliken 115kV (aka Cayuga 115kV),NYSEG,Energy Storage,200.0,200.0,200.0,2024-08-01,Active,2028-07-01,,,,,,2026-01-31 00:00:00,,,,
C24-052-001,Hemlock Hollow Wind,,Cattaraugus,NY,"Dugan - Homer Hill 115kV, Line #155",NM-NG,Wind,95.0,95.0,95.0,2024-08-01,Active,2029-09-01,,,,,,2026-01-31 00:00:00,,,,
C24-060,Gemma Energy Storage,,Steuben,NY,Stony Ridge 230kV,NYSEG,Energy Storage,200.0,200.0,200.0,2024-08-01,Active,2027-12-01,,,,,,2026-01-31 00:00:00,,,,
C24-061,Daphne Energy Storage,,Suffolk County & Mastic City,NY,Moriches 69kV,LIPA,Energy Storage,75.0,75.0,75.0,2024-08-01,Active,2027-12-01,,,,,,2026-01-31 00:00:00,,,,
C24-062,Highbush Energy Storage,,Dutchess,NY,Manchester 115 kV,CHGE,Energy Storage,200.0,200.0,200.0,2024-08-01,Active,2027-12-01,,,,,,2026-01-31 00:00:00,,,,
C24-064,Fraser Energy Storage,,Delaware,NY,Fraser substation 115 kV,NYSEG,Energy Storage,135.0,135.0,135.0,2024-08-01,Active,2029-11-01,,,,,,2025-02-28 00:00:00,,,,
C24-066,Coral Energy Storage,,Chemung,NY,Yawger 115kV Substation,NYSEG,Energy Storage,100.0,100.0,100.0,2024-08-01,Active,2027-12-01,,,,,,2026-01-31 00:00:00,,,,
C24-072,Eastwater Energy Storage,,Monroe,NY,Station 82 - Station 121 Line 23 115kV,NM-NG,Energy Storage,100.0,100.0,100.0,2024-08-02,Active,2027-06-01,,,,,,2026-01-31 00:00:00,,,,
C24-074,Lighthouse Energy Storage,,Chautauqua,NY,Gardenville - Dunkirk Line 74 230 kV,NM-NG,Energy Storage,250.0,250.0,250.0,2024-08-02,Active,2027-06-01,,,,,,2026-01-31 00:00:00,,,,
C24-079,Maple Harvest Wind,,Onondaga,NY,Tilden-Cortland Line 18.,NM-NG,Wind,162.0,162.0,162.0,2024-08-08,Active,2028-12-01,,,,,,2026-01-31 00:00:00,,,,
C24-081,Port Morris Energy Storage,,Bronx,NY,Hell Gate Annex 138kV,NYPA,Energy Storage,130.0,130.0,130.0,2024-08-08,Active,2028-12-01,,,,,,2025-03-31 00:00:00,,,,
C24-085,Arch 4,,Orange,NY,Rock Tavern 345kV Substation,CHGE,Energy Storage,150.0,150.0,150.0,2024-08-09,Active,2028-12-01,,,,,,2025-10-31 00:00:00,,,,
C24-088,Arch 3,,Orange,NY,Rock Tavern 345kV Substation,CHGE,Energy Storage,100.0,100.0,100.0,2024-08-09,Active,2028-12-01,,,,,,2025-10-31 00:00:00,,,,
C24-093,Alcazar 1,,Ulster,NY,Hurley 345kV Substation,CHGE,Energy Storage,100.0,100.0,100.0,2024-08-22,Active,2028-12-01,,,,,,2025-02-28 00:00:00,,,,
C24-094,Alcazar 2,,Ulster,NY,Hurley 345kV Substation,CHGE,Energy Storage,150.0,150.0,150.0,2024-08-22,Active,2028-12-01,,,,,,2025-02-28 00:00:00,,,,
C24-097,Basecamp BESS,,Chautauqua,NY,Laona Station 115kV,NM-NG,Energy Storage,170.0,170.0,170.0,2024-08-26,Active,2029-02-01,,,,,,2025-12-31 00:00:00,,,,
C24-098,Farmhouse BESS,,Orange,NY,Roseton 345 kV Substation,CHGE,Energy Storage,150.0,150.0,150.0,2024-08-26,Active,2029-06-01,,,,,,2025-12-31 00:00:00,,,,
C24-104,Horseblock Energy Storage,,Suffolk,NY,West Yaphank 69kV Substation,LIPA,Energy Storage,100.0,100.0,100.0,2024-08-27,Active,2028-06-01,,,,,,2025-12-31 00:00:00,,,,
C24-108,NY125C - Little Salmon Solar,,Franklin,NY,345kV Line HW1 Haverstock - WIllis,NYPA,Solar,200.0,200.0,200.0,2024-08-29,Active,2028-12-01,,,,,,2026-01-31 00:00:00,,,,
C24-111,Fort Edward Solar Farm (NY53),,Washington,NY,Mohican to Battenkill 115 kV Line #15,NM-NG,Solar,100.0,100.0,100.0,2024-08-29,Active,2027-12-01,,,,,,2025-11-30 00:00:00,,,,
C24-125,Town Line Solar Phase II,,Sullivan,NY,Coopers Corner to Middletown Tap 345 kV Line,NYPA,,60.0,60.0,60.0,2024-09-05,Active,2030-05-01,,,,,,2025-12-31 00:00:00,,,,
C24-129,Buffalo Road Energy Storage,,Niagara,NY,Dupont to Packard 115 kV Line #184,NM-NG,Energy Storage,100.0,100.0,100.0,2024-09-05,Active,2028-12-01,,,,,,2026-02-28 00:00:00,,,,
