Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,facilityType,Post Generator Interconnection Agreement Status,Interconnection Approval Date,inService,giaToExec,studyCycle,studyGroup,studyPhase,svcType,dp1ErisMw,dp1NrisMw,dp2ErisMw,dp2NrisMw,sisPhase1
J1069,,,"Jasper County,Pulaski County",IN,Reynolds 345kV Substation,NORTHERN INDIANA PUBLIC SERVICE COMPANY LLC,Wind,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,Done,2023-04-20T04:00:00+00:00,,,,Wind Turbine,Under Construction,2021-10-12T04:00:00+00:00,2022-09-01T04:00:00+00:00,2021-10-13T04:00:00+00:00,DPP-2018-APR,Central,GIA,NRIS,200.0,200.0,200.0,200.0,
J1039,,,Warren County,MO,Enon - Montogomery 345kV Line Tap,AMEREN MISSOURI,Battery Storage,50.0,50.0,50.0,2018-03-12T04:00:00+00:00,Withdrawn,,2021-03-10T05:00:00+00:00,,,Battery Storage,Not Started,,2021-10-31T04:00:00+00:00,,DPP-2018-APR,Central,GIA,NRIS,50.0,50.0,0.0,0.0,
J1047,,,Walworth County,WI,North Lake Geneva - Sugar Creek - Burlington 138kV Line Tap,American Transmission Co. LLC,Solar,200.0,200.0,200.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-10-24T04:00:00+00:00,,,Photovoltaic,Not Started,,2022-09-01T04:00:00+00:00,,DPP-2018-APR,East (ATC),GIA,NRIS,0.0,0.0,0.0,0.0,
J1053,,,Jefferson County,WI,Concord SW YD 138 kV Substation,American Transmission Co. LLC,Solar,300.0,300.0,300.0,2018-03-12T04:00:00+00:00,Withdrawn,,2020-05-19T04:00:00+00:00,,,Photovoltaic,Not Started,,2021-10-31T04:00:00+00:00,,DPP-2018-APR,East (ATC),GIA,NRIS,200.0,200.0,0.0,0.0,
J1080,,,"DeWitt County,McLean County",IL,Brokaw - Clinton 345kV Line Tap,AMEREN ILLINOIS,Wind,99.0,99.0,99.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-03-22T04:00:00+00:00,,,Wind Turbine,Not Started,,2020-09-01T04:00:00+00:00,,DPP-2018-APR,Central,GIA,NRIS,0.0,0.0,0.0,0.0,
J1054,,,Goodhue County,MN,Cannon Falls 115kV Substation,NORTHERN STATES POWER COMPANY,Battery Storage,30.0,30.0,30.0,2018-03-12T04:00:00+00:00,Withdrawn,,2020-03-25T04:00:00+00:00,,,Battery Storage,Not Started,,2021-10-31T04:00:00+00:00,,DPP-2018-APR,West,GIA,NRIS,0.0,0.0,0.0,0.0,
J1081,,,Polk County,MN,Winger 115kV Substation,OTTER TAIL POWER COMPANY OTPW,Wind,300.0,300.0,300.0,2018-03-12T04:00:00+00:00,Withdrawn,,2019-03-28T04:00:00+00:00,,,Wind Turbine,Not Started,,2020-09-01T04:00:00+00:00,,DPP-2018-APR,West,GIA,NRIS,0.0,0.0,0.0,0.0,
J1084,,,Clinton County,IA,Rock Creek 345 kV Substation,ITC MIDWEST,Solar,150.0,150.0,150.0,2018-03-12T04:00:00+00:00,Done,2023-09-01T04:00:00+00:00,,,,Photovoltaic,Under Construction,2021-06-15T04:00:00+00:00,2020-09-01T04:00:00+00:00,2021-06-15T04:00:00+00:00,DPP-2018-APR,West,GIA,NRIS,150.0,150.0,150.0,150.0,
J1092,,,Saint Croix County,WI,Three Lakes 115 kV Substation,NORTHERN STATES POWER COMPANY,Solar,100.0,100.0,100.0,2018-03-12T04:00:00+00:00,Done,2023-10-01T04:00:00+00:00,,,,Photovoltaic,Not Started,2021-06-15T04:00:00+00:00,2022-09-30T04:00:00+00:00,2021-06-15T04:00:00+00:00,DPP-2018-APR,West,GIA,NRIS,100.0,100.0,100.0,100.0,
J1067,,,"Jasper County,Pulaski County",IN,Reynolds - Burr Oak 345kV Line,NORTHERN INDIANA PUBLIC SERVICE COMPANY LLC,Solar,240.0,240.0,240.0,2018-03-12T04:00:00+00:00,Done,2023-10-20T04:00:00+00:00,,,,Photovoltaic,Under Construction,2021-10-12T04:00:00+00:00,2022-09-01T04:00:00+00:00,2021-10-13T04:00:00+00:00,DPP-2018-APR,Central,GIA,NRIS,240.0,240.0,240.0,240.0,
