Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Proposed Completion Date,iso,outcome,Status,Withdrawn Date,Actual Completion Date,Withdrawal Comment,queue_date,queue_year,capacity_mw,resolved
22,MONTEZUMA (HIGH WINDS III),,SOLANO,CA,Birds Landing 230 kV,PGAE,Wind Turbine + Storage,38.0,,,2003-11-18 08:00:00,2024-04-01 07:00:00,CAISO,active,ACTIVE,,,,2003-11-18 08:00:00+00:00,2003.0,38.0,False
32,TULE WIND,,SAN DIEGO,CA,Boulevard East Substation 138 kV,SDGE,Wind Turbine + Storage,193.8,,,2004-05-24 07:00:00,2030-10-31 07:00:00,CAISO,active,ACTIVE,,,,2004-05-24 07:00:00+00:00,2004.0,193.8,False
54,MIDWAY PEAKING,,FRESNO,CA,Panoche Substation,PGAE,Gas Turbine + Storage,119.9,,,2005-01-12 08:00:00,2027-06-30 07:00:00,CAISO,active,ACTIVE,,,,2005-01-12 08:00:00+00:00,2005.0,119.9,False
61,FRESNO COGENERATION EXPANSION PROJECT,,FRESNO,CA,Helm-Kerman 70 kV Line,PGAE,Steam Turbine + Storage,73.27,,,2005-03-30 08:00:00,2023-02-28 08:00:00,CAISO,active,ACTIVE,,,,2005-03-30 08:00:00+00:00,2005.0,73.27,False
72,BLUEWATER RENEWABLE ENERGY STORAGE,,RIVERSIDE,CA,Proposed Lee Lake Substation 500 kV,SDGE,Storage,500.0,,,2005-06-21 07:00:00,2028-12-31 08:00:00,CAISO,active,ACTIVE,,,,2005-06-21 07:00:00+00:00,2005.0,500.0,False
81,BOTTLE ROCK POWER,,LAKE,CA,Geysers #17-Fulton 230 kV Line,PGAE,Steam Turbine + Storage,52.01,,,2005-09-13 07:00:00,2027-11-30 08:00:00,CAISO,active,ACTIVE,,,,2005-09-13 07:00:00+00:00,2005.0,52.01,False
96,CPC WEST,,KERN,CA,Tehachapi Conceptual Substation #1,SCE,Wind Turbine + Storage + Storage,600.0,,,2006-03-01 08:00:00,2026-07-05 07:00:00,CAISO,active,ACTIVE,,,,2006-03-01 08:00:00+00:00,2006.0,600.0,False
100,WINDSTAR I ALTERNATE,,KERN,CA,Vincent Substation 230kV,SCE,Wind Turbine + Storage,120.0,,,2006-04-05 07:00:00,2030-10-15 07:00:00,CAISO,active,ACTIVE,,,,2006-04-05 07:00:00+00:00,2006.0,120.0,False
124,SILVER RIDGE MOUNT SIGNAL,,IMPERIAL,CA,Imperial Valley Substation 230 kV,SDGE,Photovoltaic + Storage,600.0,,,2006-08-22 07:00:00,2027-06-01 07:00:00,CAISO,active,ACTIVE,,,,2006-08-22 07:00:00+00:00,2006.0,600.0,False
138,SANDSTORM WIND POWER ,,RIVERSIDE,CA,Devers Substation 220 kV ,SCE,Wind Turbine + Storage,150.0,,,2006-10-23 07:00:00,2030-02-01 08:00:00,CAISO,active,ACTIVE,,,,2006-10-23 07:00:00+00:00,2006.0,150.0,False
222,MONTEZUMA II,,SOLANO,CA,Birds Landing 230 kV,PGAE,Wind Turbine + Storage,78.0,,,2007-05-23 07:00:00,2012-01-29 08:00:00,CAISO,active,ACTIVE,,,,2007-05-23 07:00:00+00:00,2007.0,78.0,False
268,TRACY COMBINED-CYCLE POWER PLANT,,SAN JOAQUIN,CA,Tesla-Manteca 115kV line via Schulte Switchyard,PGAE,Steam Turbine + Storage,145.0,,,2007-10-24 07:00:00,2027-04-28 07:00:00,CAISO,active,ACTIVE,,,,2007-10-24 07:00:00+00:00,2007.0,145.0,False
272,AMERICAN KINGS SOLAR,,KINGS,CA,Henrietta 70 kV,PGAE,Photovoltaic + Storage,123.0,,,2007-11-01 07:00:00,2025-12-30 08:00:00,CAISO,active,ACTIVE,,,,2007-11-01 07:00:00+00:00,2007.0,123.0,False
297,ALTA VISTA SUNTOWER GENERATING STATION,,LOS ANGELES,CA,Neenach-Bailey 66kV line,SCE,Steam Turbine + Storage,66.0,,,2008-01-18 08:00:00,2027-12-11 08:00:00,CAISO,active,ACTIVE,,,,2008-01-18 08:00:00+00:00,2008.0,66.0,False
356,CUYAMA SOLAR,,SAN LUIS OBISPO,CA,Taft-Cuyama #1 70kV line,PGAE,Photovoltaic + Storage,40.0,,,2008-04-28 07:00:00,2028-02-20 08:00:00,CAISO,active,ACTIVE,,,,2008-04-28 07:00:00+00:00,2008.0,40.0,False
378,LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,,SANTA CLARA,CA,Los Esteros 115 kV,PGAE,Combined Cycle + Storage,120.0,,,2008-05-28 07:00:00,2023-09-01 07:00:00,CAISO,active,ACTIVE,,,,2008-05-28 07:00:00+00:00,2008.0,120.0,False
493,OCOTILLO EXPRESS,,IMPERIAL,CA,Ocotillo Switchyard 500 kV ,SDGE,Wind Turbine + Storage,265.44,,,2009-07-31 07:00:00,2030-05-31 07:00:00,CAISO,active,ACTIVE,,,,2009-07-31 07:00:00+00:00,2009.0,265.44,False
506,ROSAMOND WEST SOLAR,,KERN,CA,Whirlwind Substation 230kV,SCE,Photovoltaic + Storage,299.6,,,2009-07-31 07:00:00,2029-03-31 07:00:00,CAISO,active,ACTIVE,,,,2009-07-31 07:00:00+00:00,2009.0,299.6,False
539,CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1),,STANISLAUS,CA,Salado-Newman #1 60kV Line,PGAE,Photovoltaic + Storage,20.0,,,2009-12-18 08:00:00,2025-04-01 07:00:00,CAISO,active,ACTIVE,,,,2009-12-18 08:00:00+00:00,2009.0,20.0,False
606,TRACY - ADDITIONAL CAPACITY,,SAN JOAQUIN,CA,Schulte Switching Station 115kV bus,PGAE,Combined Cycle,20.0,,,2010-02-01 08:00:00,2012-05-31 07:00:00,CAISO,active,ACTIVE,,,,2010-02-01 08:00:00+00:00,2010.0,20.0,False
625,KETTLEMAN SOLAR PROJECT (FKA KETTLEMAN SOLAR FARM),,KINGS,CA,Henrietta-Tulare Lake 70 kV,PGAE,Photovoltaic + Storage,20.0,,,2010-05-14 07:00:00,2025-04-01 07:00:00,CAISO,active,ACTIVE,,,,2010-05-14 07:00:00+00:00,2010.0,20.0,False
643R,NORTH ROSAMOND SOLAR,,KERN,CA,Whirlwind Sub 230 kV Bus,SCE,Photovoltaic + Storage,153.0,,,2010-07-31 07:00:00,2026-06-01 07:00:00,CAISO,active,ACTIVE,,,,2010-07-31 07:00:00+00:00,2010.0,153.0,False
653B,PUMPJACK SOLAR I (AKA PIONEER SOLAR I),,KERN,CA,Belridge - Temblor 115 kV,PGAE,Photovoltaic + Storage,20.0,,,2010-09-29 07:00:00,2027-06-01 07:00:00,CAISO,active,ACTIVE,,,,2010-09-29 07:00:00+00:00,2010.0,20.0,False
678,EXCELSIOR SOLAR (FKA: BURFORD FIVE POINTS),,FRESNO,CA,Panoche-Schindler #1 and #2 115 kV Line,PGAE,Photovoltaic + Storage,60.0,,,2011-03-31 07:00:00,2024-12-20 08:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,60.0,False
720,LASSEN LODGE HYDROELECTRIC,,TEHAMA,CA,Vota-South 60 kV,PGAE,Hydro,4.5,,,2011-03-31 07:00:00,2027-10-15 07:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,4.5,False
744,REDWOOD SOLAR FARM,,KERN,CA,Lamont 115 KV,PGAE,Photovoltaic,90.0,,,2011-03-31 07:00:00,2024-07-01 07:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,90.0,False
768,BIG SKY SOLAR,,LOS ANGELES,CA,Antelope Substation 230kV bus,SCE,Photovoltaic + Storage,320.0,,,2011-03-31 07:00:00,2029-01-01 08:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,320.0,False
779,WRIGHT SOLAR,,MERCED,CA,Los Banos-Panoche #1 230kV Line,PGAE,Photovoltaic + Storage,200.0,,,2011-03-31 07:00:00,2026-10-21 07:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,200.0,False
900,RIO BRAVO SOLAR 1,,KERN,CA,Midway Temblor 115 kV line,PGAE,Photovoltaic + Storage,20.0,,,2012-04-02 07:00:00,2027-06-30 07:00:00,CAISO,active,ACTIVE,,,,2012-04-02 07:00:00+00:00,2012.0,20.0,False
972,RIO BRAVO SOLAR 2,,KERN,CA,Midway-Temblor 115kV line,PGAE,Photovoltaic + Storage,20.0,,,2013-04-30 07:00:00,2027-07-30 07:00:00,CAISO,active,ACTIVE,,,,2013-04-30 07:00:00+00:00,2013.0,20.0,False
993,SUNSHINE VALLEY SOLAR 1,,NYE,NV,Valley Substation 138 kV,VEA,Photovoltaic + Storage,50.0,,,2013-04-30 07:00:00,2026-12-31 08:00:00,CAISO,active,ACTIVE,,,,2013-04-30 07:00:00+00:00,2013.0,50.0,False
1002,LASSEN LODGE HYDROELECTRIC 2,,TEHAMA,CA,Volta-South 60 kV Line,PGAE,Hydro,0.5,,,2013-04-30 07:00:00,2027-10-15 07:00:00,CAISO,active,ACTIVE,,,,2013-04-30 07:00:00+00:00,2013.0,0.5,False
1028,LITTLE BEAR SOLAR 1,,FRESNO,CA,Mendota Substation 115 kV,PGAE,Photovoltaic + Storage,20.0,,,2014-04-30 07:00:00,2029-02-01 08:00:00,CAISO,active,ACTIVE,,,,2014-04-30 07:00:00+00:00,2014.0,20.0,False
1029,LITTLE BEAR SOLAR 2,,FRESNO,CA,Mendota Substation 115 kV,PGAE,Photovoltaic + Storage,20.0,,,2014-04-30 07:00:00,2029-02-01 08:00:00,CAISO,active,ACTIVE,,,,2014-04-30 07:00:00+00:00,2014.0,20.0,False
1048,ESCONDIDO ENERGY CENTER 2,,SAN DIEGO,CA,Escondido Substation 69 kV,SDGE,Storage,33.0,,,2014-04-30 07:00:00,2030-06-01 07:00:00,CAISO,active,ACTIVE,,,,2014-04-30 07:00:00+00:00,2014.0,33.0,False
1062,WHITE WING RANCH SOLAR,,YUMA,AZ,Hoodoo Wash Switchyard 500 kV,SDGE,Photovoltaic + Storage,200.0,,,2014-04-30 07:00:00,2026-06-01 07:00:00,CAISO,active,ACTIVE,,,,2014-04-30 07:00:00+00:00,2014.0,200.0,False
1064,ARES NEVADA ,,NYE,NV,Gamebird Substation 230 kV,GLW,Storage,44.0,,,2014-04-30 07:00:00,2027-01-08 08:00:00,CAISO,active,ACTIVE,,,,2014-04-30 07:00:00+00:00,2014.0,44.0,False
1074,GASKELL WEST,,KERN,CA,Whirlwind Substation 220 kV,SCE,Photovoltaic + Storage,125.0,,,2014-04-30 07:00:00,2026-12-02 08:00:00,CAISO,active,ACTIVE,,,,2014-04-30 07:00:00+00:00,2014.0,125.0,False
1096,ALTAMONT MIDWAY LTD,,ALAMEDA,CA,Altamont Midway 230 kV ,PGAE,Wind Turbine,5.0,,,2015-04-13 07:00:00,2027-04-28 07:00:00,CAISO,active,ACTIVE,,,,2015-04-13 07:00:00+00:00,2015.0,5.0,False
1127,LITTLE BEAR 3,,FRESNO,CA,Mendota Substation 115kV,PGAE,Photovoltaic + Storage,20.0,,,2015-04-30 07:00:00,2029-02-02 08:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,20.0,False
1128,LITTLE BEAR 4,,FRESNO,CA,Mendota Substation 115kV,PGAE,Photovoltaic + Storage,100.0,,,2015-04-30 07:00:00,2029-02-02 08:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,100.0,False
1129,LUNA VALLEY SOLAR,,FRESNO,CA,Tranquility 230 kV,PGAE,Photovoltaic + Storage,200.0,,,2015-04-30 07:00:00,2028-12-29 08:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,200.0,False
1135,SCARLET,,FRESNO,CA,Tranquility 230 kV,PGAE,Photovoltaic + Storage,400.0,,,2015-04-30 07:00:00,2027-12-31 08:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,400.0,False
1169,FALLBROOK ENERGY STORAGE,,SAN DIEGO,CA,Avocado Substation 69 kV,SDGE,Storage,69.6,,,2015-04-30 07:00:00,2026-03-06 08:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,69.6,False
1175,LECONTE ENERGY STORAGE,,IMPERIAL,CA,Imperial Valley Substation 230 kV,SDGE,Storage,125.0,,,2015-04-30 07:00:00,2032-06-01 07:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,125.0,False
1204,ARATINA SOLAR CENTER 1,,SAN BERNARDINO,CA,Kramer Substation 230kV,SCE,Photovoltaic + Storage,200.0,,,2015-04-30 07:00:00,2026-06-01 07:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,200.0,False
1207,SIENNA SOLAR FARM,,SAN BERNARDINO,CA,Calcite Substation 230kV,SCE,Photovoltaic + Storage,200.0,,,2015-04-30 07:00:00,2027-01-28 08:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,200.0,False
1208,ANTELOPE SOLAR 2,,LOS ANGELES,CA,Antelope Substation 220kV,SCE,Storage + Photovoltaic,650.0,,,2015-04-30 07:00:00,2025-11-27 08:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,650.0,False
1212,GOLDEN FIELDS SOLAR,,KERN,CA,Whirlwind Substation 220kV ,SCE,Storage + Storage,92.0,,,2015-04-30 07:00:00,2026-12-01 08:00:00,CAISO,active,ACTIVE,,,,2015-04-30 07:00:00+00:00,2015.0,92.0,False
1222,AGUA CALIENTE SOLAR 2,,MARICOPA,AZ,Hoodoo Wash Switchyard 500 kV,SDGE,Photovoltaic,20.0,,,2016-03-08 08:00:00,2016-12-01 08:00:00,CAISO,active,ACTIVE,,,,2016-03-08 08:00:00+00:00,2016.0,20.0,False
1223,DAYLIGHT,,KINGS,CA,Mustang 230 kV,PGAE,Photovoltaic + Storage,300.0,,,2016-05-02 07:00:00,2028-01-19 08:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,300.0,False
1242,PLUOT,,KINGS,CA,Gates 230 kV,PGAE,Photovoltaic + Storage,246.4,,,2016-05-02 07:00:00,2027-01-20 08:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,246.4,False
1243,POMEGRANATE,,KINGS,CA,Gates 230 kV,PGAE,Photovoltaic + Storage,249.7,,,2016-05-02 07:00:00,2027-12-31 08:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,249.7,False
1260,KYAN SOLAR,,KERN,CA,Midway-Wheeler Ridge #2 230 kV Line,PGAE,Photovoltaic,100.0,,,2016-05-02 07:00:00,2027-03-02 08:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,100.0,False
1270,CORBY,,SOLANO,CA,Vaca-Dixon 230 kV,PGAE,Storage,300.0,,,2016-05-02 07:00:00,2027-06-01 07:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,300.0,False
1277,MULQUEENEY RANCH WIND,,ALAMEDA,CA,Tesla 230 kV,PGAE,Wind Turbine,20.0,,,2016-05-02 07:00:00,2026-12-31 08:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,20.0,False
1314,DAGGETT SOLAR 3,,SAN BERNARDINO,CA,Kramer Substation 230kV,SCE,Photovoltaic + Storage,300.0,,,2016-05-02 07:00:00,2023-08-06 07:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,300.0,False
1322,SOLAR STAR 3,,KERN,CA,Whirlwind Substation 230kV,SCE,Storage + Photovoltaic,24.0,,,2016-05-02 07:00:00,2026-07-07 07:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,24.0,False
1323,SOLAR STAR 4,,KERN,CA,Whirlwind Substation 230kV,SCE,Storage + Photovoltaic,24.0,,,2016-05-02 07:00:00,2026-07-07 07:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,24.0,False
1339,TAHOE,,CLARK,NV,SCE owned Eldorado Bus 230kV,SCE,Storage,300.0,,,2016-05-02 07:00:00,2026-05-01 07:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,300.0,False
1347,ROCCASECCA BESS,,CLARK,NV,Sloan Canyon Switching Station 230kV,GLW,Storage,126.5934,,,2016-05-02 07:00:00,2027-03-01 08:00:00,CAISO,active,ACTIVE,,,,2016-05-02 07:00:00+00:00,2016.0,126.5934,False
1349,ARAMIS POWER PLANT,,ALAMEDA,CA,Cayetano 230 kV,PGAE,Photovoltaic + Storage,100.0,,,2017-05-01 07:00:00,2026-07-31 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,100.0,False
1363,SAND HILL C,,ALAMEDA,CA,Delta Switching Yard-Tesla 230 kV Line,PGAE,Wind Turbine,80.8,,,2017-05-01 07:00:00,2027-04-28 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,80.8,False
1378,GONZAGA WIND FARM,,MERCED,CA,Los Banos 70 kV,PGAE,Wind Turbine,76.35,,,2017-05-01 07:00:00,2026-03-31 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,76.35,False
1379,HEARTLAND 1,,FRESNO,CA,Tranquility 230 kV,PGAE,Photovoltaic + Storage,150.0,,,2017-05-01 07:00:00,2028-06-30 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,150.0,False
1380,HEARTLAND 2,,FRESNO,CA,Tranquility 230 kV,PGAE,Photovoltaic + Storage,150.0,,,2017-05-01 07:00:00,2028-06-30 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,150.0,False
1382,LAS CAMAS 1,,MERCED,CA,Los Banos 230 kV,PGAE,Photovoltaic + Storage,100.0,,,2017-05-01 07:00:00,2027-12-31 08:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,100.0,False
1389,REDUX SOLAR,,FRESNO,CA,Gates 230 kV,PGAE,Photovoltaic + Storage,125.0,,,2017-05-01 07:00:00,2026-06-01 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,125.0,False
1391,SONRISA,,FRESNO,CA,Tranquility 230 kV,PGAE,Photovoltaic + Storage,200.0,,,2017-05-01 07:00:00,2026-12-31 08:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,200.0,False
1402,ATLAS COMPLEX,,LA PAZ,AZ,Delaney-Colorado River 500 kV Line,DCRT,Storage + Photovoltaic,3200.0,,,2017-05-01 07:00:00,2028-03-31 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,3200.0,False
1405,ATHOS POWER PLANT,,RIVERSIDE,CA,Red Bluff Substation 230kV,SCE,Photovoltaic + Storage,450.0,,,2017-05-01 07:00:00,2027-05-17 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,450.0,False
1413,BALDY MESA,,SAN BERNARDINO,CA,Roadway Substation 115kV bus,SCE,Storage + Photovoltaic,100.0,,,2017-05-01 07:00:00,2031-06-30 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,100.0,False
1419,CAMINO SOLAR,,KERN,CA,Whirlwind Substation 230kV,SCE,Photovoltaic + Storage,54.28,,,2017-05-01 07:00:00,2027-12-31 08:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,54.28,False
1432,STARLIGHT SOLAR,,SAN DIEGO,CA,Boulevard East Substation 69 kV,SDGE,Photovoltaic + Storage,20.0,,,2017-05-01 07:00:00,2027-04-30 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,20.0,False
1435,IRONWOOD SOLAR,,YUMA,AZ,Hoodoo Wash Switchyard 500 kV,SDGE,Photovoltaic + Storage,250.0,,,2017-05-01 07:00:00,2030-06-30 07:00:00,CAISO,active,ACTIVE,,,,2017-05-01 07:00:00+00:00,2017.0,250.0,False
1442,AJO POWER BANK,,SANTA CLARA,CA,Llagas-Gilroy Foods 115 kV line,PGAE,Storage,120.0,,,2018-04-16 07:00:00,2028-01-01 08:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,120.0,False
1444,SALOON ENERGY STORAGE,,COLUSA,CA,Cortina 115 kV,PGAE,Storage,150.0,,,2018-04-16 07:00:00,2027-07-13 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,150.0,False
1455,JANUS,,COLUSA,CA,Cortina 60 kV,PGAE,Storage + Photovoltaic,80.0,,,2018-04-16 07:00:00,2027-03-01 08:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,80.0,False
1456,LAS CAMAS 3,,MERCED,CA,Los Banos 230 kV,PGAE,Photovoltaic + Storage,100.0,,,2018-04-16 07:00:00,2027-12-31 08:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,100.0,False
1457,MILPA POWER BANK,,SANTA CLARA,CA,Los Esteros 115 kV,PGAE,Storage,3.0,,,2018-04-16 07:00:00,2025-04-29 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,3.0,False
1459,MULQUEENEY RANCH WIND 2,,ALAMEDA,CA,Tesla 230 kV,PGAE,Wind Turbine,60.0,,,2018-04-16 07:00:00,2026-06-01 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,60.0,False
1461,RECLAIMED WIND,,ALAMEDA,CA,Kelso-Tesla Tap 230 kV,PGAE,Storage,90.7,,,2018-04-16 07:00:00,2026-12-01 08:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,90.7,False
1463,SOLANO 4 WIND,,SOLANO,CA,Birds Landing 230 kV,PGAE,Wind Turbine,90.8,,,2018-04-16 07:00:00,2025-05-31 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,90.8,False
1479,KEY STORAGE 1,,FRESNO,CA,Gates 500 kV,PGAE,Storage,300.1,,,2018-04-16 07:00:00,2026-10-01 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,300.1,False
1495,CHALAN SOLAR,,KERN,CA,Arco 230 kV,PGAE,Storage + Photovoltaic,64.9,,,2018-04-16 07:00:00,2026-04-12 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,64.9,False
1499,JASMINE,,KERN,CA,Lakeview 70 kV,PGAE,Photovoltaic + Storage,70.0,,,2018-04-16 07:00:00,2027-01-31 08:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,70.0,False
1507,PROSPECT ENERGY STORAGE,,SACRAMENTO,CA,Gold Hill 60 kV,PGAE,Storage,49.9,,,2018-04-16 07:00:00,2028-06-01 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,49.9,False
1510,BELLEFIELD SOLAR FARM,,KERN,CA,Windhub Substation 230kV,SCE,Photovoltaic + Storage,500.0,,,2018-04-16 07:00:00,2025-08-01 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,500.0,False
1518,SANBORN SOLAR 2,,KERN,CA,Windhub Substation 230kV,SCE,Photovoltaic + Storage,500.0,,,2018-04-16 07:00:00,2025-10-01 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,500.0,False
1519,BALDY MESA 2,,SAN BERNARDINO,CA,Roadway Substation 115kV,SCE,Photovoltaic + Storage,100.0,,,2018-04-16 07:00:00,2026-11-01 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,100.0,False
1522,ARIDA SOLAR FARM,,CLARK,NV,Mohave Substation 500kV,SCE,Storage + Photovoltaic,370.0,,,2018-04-16 07:00:00,2027-09-15 07:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,370.0,False
1532,KETTLE SOLAR ONE,,SAN DIEGO,CA,Carrizo Gorge Switchyard 138 kV,SDGE,Photovoltaic + Storage,90.0,,,2018-04-16 07:00:00,2027-01-13 08:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,90.0,False
1534,VULCAN,,MARICOPA,AZ,Hassayampa Common Bus 500 kV,SDGE,Storage + Photovoltaic,250.0,,,2018-04-16 07:00:00,2027-12-31 08:00:00,CAISO,active,ACTIVE,,,,2018-04-16 07:00:00+00:00,2018.0,250.0,False
1539,IRVING STORAGE,,MONTEREY,CA,Moss Landing 500 kV,PGAE,Storage,750.0,,,2019-05-07 07:00:00,2025-11-30 08:00:00,CAISO,active,ACTIVE,,,,2019-05-07 07:00:00+00:00,2019.0,750.0,False
1550,TANAGER STORAGE,,SANTA CLARA,CA,Los Esteros 230 kV,PGAE,Storage,200.0,,,2019-04-15 07:00:00,2027-12-15 08:00:00,CAISO,active,ACTIVE,,,,2019-04-15 07:00:00+00:00,2019.0,200.0,False
1552,CORMORANT STORAGE,,SAN FRANCISCO,CA,Martin 115 kV,PGAE,Storage,250.0,,,2019-04-15 07:00:00,2027-04-15 07:00:00,CAISO,active,ACTIVE,,,,2019-04-15 07:00:00+00:00,2019.0,250.0,False
1553,JEWELFLOWER STORAGE,,SANTA CLARA,CA,Metcalf 230 kV,PGAE,Storage,350.0,,,2019-04-15 07:00:00,2029-03-28 07:00:00,CAISO,active,ACTIVE,,,,2019-04-15 07:00:00+00:00,2019.0,350.0,False
1557,NOOSA ENERGY STORAGE,,SAN JOAQUIN,CA,Ripon 115 kV,PGAE,Storage,99.0,,,2019-04-15 07:00:00,2029-04-16 07:00:00,CAISO,active,ACTIVE,,,,2019-04-15 07:00:00+00:00,2019.0,99.0,False
1565,DYNAMO SOLAR,,NAPA,CA,Tulucay 60 kV,PGAE,Photovoltaic,24.5,,,2019-04-15 07:00:00,2027-07-16 07:00:00,CAISO,active,ACTIVE,,,,2019-04-15 07:00:00+00:00,2019.0,24.5,False
1568,AIR STATION 1,,KINGS,CA,Henrietta-Lemoore NAS 70 kV,PGAE,Photovoltaic + Storage,40.0,,,2019-04-15 07:00:00,2021-12-31 08:00:00,CAISO,active,ACTIVE,,,,2019-04-15 07:00:00+00:00,2019.0,40.0,False
1587,KINGSROAD HYBRID SOLAR,,KERN,CA,Arco 230 kV,PGAE,Storage + Photovoltaic,100.0,,,2019-04-15 07:00:00,2028-12-01 08:00:00,CAISO,active,ACTIVE,,,,2019-04-15 07:00:00+00:00,2019.0,100.0,False
1593,PELICANS JAW HYBRID SOLAR,,KINGS,CA,Gates-Midway 230 kV Line,PGAE,Storage + Photovoltaic,500.0,,,2019-04-15 07:00:00,2028-01-24 08:00:00,CAISO,active,ACTIVE,,,,2019-04-15 07:00:00+00:00,2019.0,500.0,False
1596,BUTTONBUSH SOLAR HYBRID ENERGY CENTER,,KERN,CA,Midway 500 kV,PGAE,Storage + Photovoltaic,800.0,,,2019-04-15 07:00:00,2029-08-01 07:00:00,CAISO,active,ACTIVE,,,,2019-04-15 07:00:00+00:00,2019.0,800.0,False
