Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Proposed Completion Date,iso,outcome,Status,Withdrawn Date,Actual Completion Date,Withdrawal Comment,queue_date,queue_year,capacity_mw,resolved
J2401,,,Johnson,IL,7W_FRFT_E - 7SHAWNEE FP 345.0kV,,Solar,150.0,150.0,150.0,2022-09-15T04:00:00+00:00,,MISO,active,Active,,,,2022-09-15 04:00:00+00:00,2022.0,150.0,False
J2403,,,Johnson,IL,7JORD - 7MASS 345.0kV,,Solar,200.0,200.0,200.0,2022-09-15T04:00:00+00:00,,MISO,active,Active,,,,2022-09-15 04:00:00+00:00,2022.0,200.0,False
J1864,,,Cerro Gordo,IA,Emery 161kV,ITC MIDWEST,Wind,250.0,250.0,250.0,2021-08-16T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2021-10-12T04:00:00+00:00,,,2021-08-16 04:00:00+00:00,2021.0,250.0,True
J3732,,,Saline,IL,Niles 138 kV (J1208/J1209) to be built near existing Harco Tap,AMEREN ILLINOIS,Hybrid,175.0,175.0,175.0,2024-04-15T04:00:00+00:00,,MISO,active,Active,,,,2024-04-15 04:00:00+00:00,2024.0,175.0,False
S1082,,,Muskegon,MI,DU PONT - WHITE LAKE 138.0kV,METC,Battery Storage,50.0,50.0,50.0,2025-01-13T05:00:00+00:00,2029-05-12T04:00:00+00:00,MISO,active,Active,,,,2025-01-13 05:00:00+00:00,2025.0,50.0,False
S1093,,,Mitchell,IA,Mitchell County,ITC MIDWEST,Battery Storage,202.0,202.0,202.0,2025-03-06T05:00:00+00:00,,MISO,withdrawn,Withdrawn,2026-06-18T04:00:00+00:00,,,2025-03-06 05:00:00+00:00,2025.0,202.0,True
J4110,,,Lafayette,LA,Rork - Sellers Road 230.0kV,CLECO POWER LLC,Gas,400.0,400.0,400.0,2025-10-07T04:00:00+00:00,,MISO,active,Active,,,,2025-10-07 04:00:00+00:00,2025.0,400.0,False
J4109,,,Iberville,LA,DONALDSONVILLE - EVERGREEN 230.0kV,"ENTERGY LOUISIANA, LLC",Gas,1300.0,1300.0,1300.0,2025-10-07T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-12-19T05:00:00+00:00,,,2025-10-07 04:00:00+00:00,2025.0,1300.0,True
S1120,,,Knox,IN,Edwardsport  - Washington Mun,"DUKE ENERGY INDIANA, LLC",Battery Storage,150.0,150.0,150.0,2025-09-08T04:00:00+00:00,,MISO,active,Active,,,,2025-09-08 04:00:00+00:00,2025.0,150.0,False
J2400,,,Bienville,LA,Sailes Substation 115kV,"ENTERGY LOUISIANA, LLC ELTO",Solar,120.0,120.0,120.0,2022-09-15T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-07-30T04:00:00+00:00,,,2022-09-15 04:00:00+00:00,2022.0,120.0,True
J2402,,,Johnson,IL,7W_FRFT_E - 7SHAWNEE FP 345.0kV,,Battery Storage,200.0,200.0,200.0,2022-09-15T04:00:00+00:00,,MISO,active,Active,,,,2022-09-15 04:00:00+00:00,2022.0,200.0,False
J4036,,,Cross,AR,WYNNE INDUSTRIAL,"ENTERGY ARKANSAS, LLC",Solar,160.0,160.0,160.0,2025-07-01T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-12-31T05:00:00+00:00,,,2025-07-01 04:00:00+00:00,2025.0,160.0,True
J4240,,,Grant,,Big Stone South 345 kV substation,OTTER TAIL POWER COMPANY,,250.0,250.0,250.0,2026-05-13T02:35:53+00:00,,MISO,active,Active,,,,2026-05-13 02:35:53+00:00,2026.0,250.0,False
J2373,,,Calcasieu,LA,230kV Graywood or (new) Big Lake,"ENTERGY LOUISIANA, LLC ELTO",Waste Heat Recovery,40.0,40.0,40.0,2022-09-15T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2023-01-25T05:00:00+00:00,,,2022-09-15 04:00:00+00:00,2022.0,40.0,True
J3663,,,Morehouse,LA,OAK RIDGE (LA) - STERLINGTON 115 SWYD 115.0kV,"ENTERGY LOUISIANA, LLC ELTO",Solar,150.0,150.0,150.0,2024-04-13T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2025-09-29T04:00:00+00:00,,,2024-04-13 04:00:00+00:00,2024.0,150.0,True
J4023,,,Clay,IN,Wabash River  -  Staunton 230.0kV,"DUKE ENERGY INDIANA, LLC CIN",Solar,185.0,185.0,185.0,2025-02-03T05:00:00+00:00,,MISO,withdrawn,Withdrawn,2026-04-14T04:00:00+00:00,,,2025-02-03 05:00:00+00:00,2025.0,185.0,True
J4246,,,,,,"ENTERGY TEXAS, INC. ETTO",,560.0,560.0,560.0,2026-06-25T21:45:49+00:00,,MISO,active,Active,,,,2026-06-25 21:45:49+00:00,2026.0,560.0,False
J2555,,,Ingham,MI,DELHI to TOMPKINS 138kV,,Battery Storage,100.0,100.0,100.0,2023-08-28T04:00:00+00:00,,MISO,active,Active,,,,2023-08-28 04:00:00+00:00,2023.0,100.0,False
J2377,,,Peoria,IL,7CLINTON  - 7BROKAW 345.0kV,AMEREN ILLINOIS,Battery Storage,300.0,300.0,300.0,2024-11-07T05:00:00+00:00,,MISO,active,Active,,,,2024-11-07 05:00:00+00:00,2024.0,300.0,False
J2394,,,Craighead,AR,Independence ISES - Powerline Road 500 kV,"ENTERGY ARKANSAS, LLC EATO",Hybrid,200.0,200.0,200.0,2022-09-15T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2023-03-24T04:00:00+00:00,,,2022-09-15 04:00:00+00:00,2022.0,200.0,True
J2396,,,Calhoun,AR,SHERIDAN EHV - EL DORADO EHV 500.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,400.0,400.0,400.0,2022-09-15T04:00:00+00:00,,MISO,active,Active,,,,2022-09-15 04:00:00+00:00,2022.0,400.0,False
J2397,,,Calhoun,AR,SHERIDAN EHV - EL DORADO EHV 500.0kV,"ENTERGY ARKANSAS, LLC EATO",Hybrid,160.0,160.0,160.0,2022-09-15T04:00:00+00:00,,MISO,active,Active,,,,2022-09-15 04:00:00+00:00,2022.0,160.0,False
J2398,,,Craighead,AR,Independence ISES - Powerline Road 500 kV,"ENTERGY ARKANSAS, LLC EATO",Hybrid,160.0,160.0,160.0,2022-09-15T04:00:00+00:00,,MISO,withdrawn,Withdrawn,2023-03-24T04:00:00+00:00,,,2022-09-15 04:00:00+00:00,2022.0,160.0,True
